iter	Logloss
0	0.6313748779
1	0.5844337158
2	0.5480270386
3	0.5198372803
4	0.497932251
5	0.4812263184
6	0.4676170044
7	0.4574796753
8	0.4498258057
9	0.4431897278
10	0.438233551
11	0.4340059204
12	0.4308334961
13	0.4278937073
14	0.4262739868
15	0.4237615051
16	0.422217041
17	0.4205176697
18	0.4199253845
19	0.4185634155
20	0.4172118835
21	0.4164256287
22	0.4153166504
23	0.4145675049
24	0.4138258667
25	0.4128927612
26	0.4118121948
27	0.410871521
28	0.4097575989
29	0.408897583
30	0.4082163696
31	0.4072823486
32	0.4064057312
33	0.4053615112
34	0.4046425171
35	0.4037780762
36	0.4029390564
37	0.4019698486
38	0.4009696655
39	0.3999661255
40	0.3989827881
41	0.3982973633
42	0.3974995117
43	0.3966615601
44	0.3956798401
45	0.3950224915
46	0.3940716553
47	0.3930535278
48	0.3921672668
49	0.3912155457
50	0.3906027832
51	0.3901627197
52	0.3891724854
53	0.3883989868
54	0.3877590942
55	0.3869867859
56	0.3861235962
57	0.3851872864
58	0.3845627136
59	0.3839803467
60	0.383324707
61	0.3826654663
62	0.3820739136
63	0.3812574463
64	0.3806191101
65	0.3795662842
66	0.3786057129
67	0.3777931213
68	0.377177002
69	0.3763191528
70	0.3758728333
71	0.3752067566
72	0.3743002319
73	0.3737977905
74	0.3726324463
75	0.3720170288
76	0.3710814209
77	0.3704622803
78	0.3701338501
79	0.3695795898
80	0.3686786194
81	0.3680148315
82	0.3674240723
83	0.3667429199
84	0.3658256531
85	0.3651264648
86	0.3644222107
87	0.3636405945
88	0.3630347595
89	0.3622638245
90	0.3618699646
91	0.3610171509
92	0.3602675781
93	0.3597026672
94	0.3590839844
95	0.3585250854
96	0.3578799438
97	0.3570603027
98	0.3562397461
99	0.355609375
100	0.3550759583
101	0.3544655457
102	0.3539075317
103	0.3533650208
104	0.3525245056
105	0.3519104614
106	0.3509060059
107	0.3502216187
108	0.3495914307
109	0.3487732239
110	0.3481210022
111	0.3475301819
112	0.3470114441
113	0.3462424927
114	0.3456719971
115	0.3449700317
116	0.3440713501
117	0.3433478088
118	0.342601593
119	0.3418643188
120	0.3413043213
121	0.3404328003
122	0.339587616
123	0.3388625793
124	0.3381034546
125	0.3372323303
126	0.3364194946
127	0.3357538147
128	0.3352055054
129	0.3344332275
130	0.3337576904
131	0.3330710449
132	0.3325162354
133	0.3318704224
134	0.3311157837
135	0.3304302368
136	0.3298269043
137	0.3292524109
138	0.3287299805
139	0.3279477234
140	0.3274930725
141	0.3268620605
142	0.3263193054
143	0.3256622314
144	0.3250295715
145	0.3242377014
146	0.3236190796
147	0.3228953247
148	0.3221599121
149	0.3214645691
150	0.3207946777
151	0.3201793213
152	0.3195368347
153	0.3189020081
154	0.3180267944
155	0.3174766846
156	0.3170064087
157	0.3164297485
158	0.3157050476
159	0.314991333
160	0.3143294373
161	0.3134212036
162	0.3129309082
163	0.3120885315
164	0.3117630005
165	0.3111234436
166	0.3107148438
167	0.3101229858
168	0.3095153198
169	0.3087538147
170	0.3080353394
171	0.3074517822
172	0.3070257568
173	0.3061755371
174	0.3057765808
175	0.3050253906
176	0.3046064758
177	0.3040099182
178	0.3032918091
179	0.3029090271
180	0.3023981018
181	0.3019072876
182	0.3010039063
183	0.3003855591
184	0.2996615601
185	0.2990737305
186	0.2986150513
187	0.2979522705
188	0.2971397095
189	0.2965401306
190	0.2959872742
191	0.2953378296
192	0.2945635986
193	0.293864563
194	0.2933494873
195	0.2924980774
196	0.2917072144
197	0.2911782227
198	0.29063797
199	0.2901703491
