iter	Passed	Remaining
0	146	29063
1	147	14646
2	149	9846
3	152	7461
4	154	6014
5	156	5051
6	158	4363
7	160	3846
8	162	3443
9	164	3124
10	166	2862
11	168	2640
12	170	2459
13	172	2297
14	174	2150
15	176	2028
16	178	1922
17	180	1825
18	181	1732
19	184	1657
20	186	1587
21	188	1523
22	190	1464
23	192	1411
24	194	1361
25	196	1315
26	198	1273
27	200	1233
28	202	1195
29	204	1160
30	206	1127
31	208	1096
32	210	1067
33	212	1039
34	215	1013
35	217	989
36	219	966
37	221	943
38	223	922
39	225	902
40	227	882
41	229	864
42	231	846
43	233	829
44	235	812
45	237	796
46	239	780
47	241	765
48	243	751
49	245	737
50	248	724
51	250	711
52	252	699
53	254	687
54	256	675
55	258	664
56	260	652
57	262	642
58	264	631
59	266	621
60	268	611
61	270	601
62	272	591
63	274	582
64	276	573
65	278	565
66	280	556
67	282	548
68	284	540
69	286	532
70	288	525
71	291	517
72	293	510
73	295	503
74	297	495
75	299	488
76	301	481
77	303	475
78	306	469
79	308	462
80	310	456
81	312	449
82	314	443
83	316	437
84	318	431
85	321	425
86	323	420
87	325	414
88	327	409
89	329	403
90	332	397
91	334	392
92	336	386
93	338	381
94	340	376
95	342	370
96	344	365
97	346	360
98	348	355
99	350	350
100	352	345
101	354	340
102	356	335
103	358	331
104	360	326
105	362	321
106	364	317
107	366	312
108	368	308
109	371	303
110	373	299
111	375	294
112	377	290
113	379	286
114	381	281
115	383	277
116	385	273
117	387	269
118	389	265
119	391	261
120	393	257
121	395	253
122	398	249
123	400	245
124	402	241
125	405	237
126	407	234
127	409	230
128	411	226
129	413	222
130	416	219
131	418	215
132	420	211
133	422	208
134	425	204
135	427	201
136	429	197
137	432	194
138	434	190
139	437	187
140	439	183
141	441	180
142	444	177
143	446	173
144	448	170
145	450	166
146	452	163
147	455	159
148	457	156
149	460	153
150	462	150
151	464	146
152	466	143
153	468	140
154	470	136
155	472	133
156	475	130
157	477	126
158	479	123
159	481	120
160	483	117
161	485	113
162	487	110
163	490	107
164	492	104
165	494	101
166	496	98
167	498	94
168	500	91
169	504	88
170	506	85
171	508	82
172	510	79
173	512	76
174	514	73
175	517	70
176	519	67
177	521	64
178	523	61
179	525	58
180	527	55
181	529	52
182	532	49
183	534	46
184	536	43
185	538	40
186	540	37
187	542	34
188	544	31
189	546	28
190	548	25
191	550	22
192	552	20
193	555	17
194	557	14
195	559	11
196	561	8
197	564	5
198	566	2
199	568	0
